vd_source_v,vout_diff_v
3.750000000000000000e-01,-8.569603300000000479e-01
3.900000000000000133e-01,-8.839408749999999593e-01
4.050000000000000266e-01,-9.097365779999999624e-01
4.199999999999999845e-01,-9.342657119999999704e-01
4.349999999999999978e-01,-9.574401129999999815e-01
4.500000000000000111e-01,-9.791897609999999919e-01
4.650000000000000244e-01,-9.994132380000000371e-01
4.799999999999999822e-01,-1.018034040000000084e+00
4.949999999999999956e-01,-1.034980330000000004e+00
5.100000000000000089e-01,-1.050211819999999907e+00
5.250000000000000222e-01,-1.063701290000000022e+00
5.400000000000000355e-01,-1.075472580000000011e+00
5.550000000000000488e-01,-1.085581380000000040e+00
5.699999999999999512e-01,-1.094126490000000063e+00
5.849999999999999645e-01,-1.101237889999999942e+00
5.999999999999999778e-01,-1.107070940000000059e+00
6.149999999999999911e-01,-1.111792399999999903e+00
6.300000000000000044e-01,-1.115569859999999913e+00
6.450000000000000178e-01,-1.118562059999999914e+00
6.600000000000000311e-01,-1.120912649999999955e+00
6.750000000000000444e-01,-1.122746790000000106e+00
6.899999999999999467e-01,-1.124170330000000106e+00
7.049999999999999600e-01,-1.125270629999999938e+00
7.199999999999999734e-01,-1.126118490000000083e+00
7.349999999999999867e-01,-1.126770400000000061e+00
7.500000000000000000e-01,-1.127270940000000055e+00
7.650000000000000133e-01,-1.127655000000000074e+00
7.800000000000000266e-01,-1.127949660000000076e+00
7.950000000000000400e-01,-1.128175869999999970e+00
8.100000000000000533e-01,-1.128349760000000090e+00
8.249999999999999556e-01,-1.128483700000000090e+00
8.399999999999999689e-01,-1.128587170000000084e+00
8.549999999999999822e-01,-1.128667410000000038e+00
8.699999999999999956e-01,-1.128729969999999971e+00
8.850000000000000089e-01,-1.128779049999999895e+00
9.000000000000000222e-01,-1.128817879999999940e+00
